"margPoints","study.ID","Bivalve..Gastropod","Start.stage","End.stage","Taxon","Tax.level"
-0.00310059121983269,"Aberhan 2003 SEA","Bivalve","Sinemurian","Sinemurian","bivalve","Species"
0.204375831055241,"Aberhan 2003 SEA","Bivalve","Pliensbachian","Pliensbachian","bivalve","Species"
-0.654327993682245,"Aberhan 2003 SEA","Bivalve","Toarcian","Toarcian","bivalve","Species"
-0.208374056464955,"Aberhan 2003 SEA","Bivalve","Sinemurian","Sinemurian","bivalve","Species"
1.21744728028377,"Aberhan 2003 SEA","Bivalve","Pliensbachian","Pliensbachian","bivalve","Species"
0.115026433468155,"Aberhan 2003 SEA","Bivalve","Toarcian","Toarcian","bivalve","Species"
-0.640243976295817,"Elder 1989 MEP","Bivalve","Cenomanian","Cenomanian","bivalve","Species"
-1.210695508104,"Elder 1989 MEP","Bivalve","Turonian","Turonian","bivalve","Species"
0.35472546606314,"Hansen et al. 1993a","Bivalve","Maastrichtian","Maastrichtian","bivalve","Species"
0.950628347031523,"Hautmann 2008 ERP","Bivalve","Rhaetian","Rhaetian","bivalve","Species"
-1.16374066816523,"Heinburg 1999 LDB","Bivalve","Maastrichtian","Maastrichtian","bivalve","Species"
0.0984655678253921,"Jablonski1995SEC","Bivalve","Maastrichtian","Maastrichtian","bivalve","Genera"
-0.615784215542525,"Knoll et al. 1996","Bivalve","Capitanian","Capitanian","bivalve","Species"
0.926859772626758,"Knoll et al. 1996","Bivalve","Wordian","Wordian","bivalve","Species"
-0.00783906361098926,"Lockwood 2003 ANL","Bivalve","Maastrichtian","Maastrichtian","bivalve","Subgenera"
0.125926857265585,"McClure 1995 NSE","Bivalve","Maastrichtian","Maastrichtian","bivalve","Genera"
3.97375959477362,"McRoberts1995SEA","Bivalve","Rhaetian","Rhaetian","bivalve","Species"
2.17970707248853,"McRoberts1995SEA","Bivalve","Rhaetian","Rhaetian","bivalve","Species"
1.38449292966138,"McRoberts1995SEA","Bivalve","Rhaetian","Rhaetian","bivalve","Species"
-1.31433315503047,"Rivadeneira2007SEL","Bivalve","Serravallian","Pleistocene","bivalve","Species"
-0.515936872649069,"Stanley 1986 ARM","Bivalve","Zanclean","Pleistocene","bivalve","Species"
0.813547092144135,"Crampton 2010 BIS","Gastropod","Priabonian","Priabonian","gastropod","Species"
0.509214288967333,"Crampton 2010 BIS","Gastropod","Rupelian","Rupelian","gastropod","Species"
-0.586762467624512,"Crampton 2010 BIS","Gastropod","Chattian","Chattian","gastropod","Species"
-0.611281440565054,"Crampton 2010 BIS","Gastropod","Aquitanian","Aquitanian","gastropod","Species"
-0.849213964003234,"Crampton 2010 BIS","Gastropod","Burdigalian","Burdigalian","gastropod","Species"
0.625347327759766,"Crampton 2010 BIS","Gastropod","Langhian","Langhian","gastropod","Species"
-0.803568469538897,"Crampton 2010 BIS","Gastropod","Serravallian","Serravallian","gastropod","Species"
0.594853937470024,"Crampton 2010 BIS","Gastropod","Tortonian","Tortonian","gastropod","Species"
0.895583446500446,"Crampton 2010 BIS","Gastropod","Messinian","Messinian","gastropod","Species"
-0.451577520774909,"Crampton 2010 BIS","Gastropod","Zanclean","Zanclean","gastropod","Species"
-1.04332122237116,"Crampton 2010 BIS","Bivalve","Priabonian","Priabonian","bivalve","Species"
-1.54490944472822,"Crampton 2010 BIS","Bivalve","Rupelian","Rupelian","bivalve","Species"
1.24273732958639,"Crampton 2010 BIS","Bivalve","Chattian","Chattian","bivalve","Species"
-0.180023337407442,"Crampton 2010 BIS","Bivalve","Aquitanian","Aquitanian","bivalve","Species"
0.270039512409837,"Crampton 2010 BIS","Bivalve","Burdigalian","Burdigalian","bivalve","Species"
-1.50105119700784,"Crampton 2010 BIS","Bivalve","Langhian","Langhian","bivalve","Species"
-0.309522324127429,"Crampton 2010 BIS","Bivalve","Serravallian","Serravallian","bivalve","Species"
-0.839177781161408,"Crampton 2010 BIS","Bivalve","Tortonian","Tortonian","bivalve","Species"
-0.824136431089403,"Crampton 2010 BIS","Bivalve","Messinian","Messinian","bivalve","Species"
0.733857162552116,"Crampton 2010 BIS","Bivalve","Zanclean","Zanclean","bivalve","Species"
