#,Effect,In-text Citation,b/g,Tax,Type,Trait,Start,End,Location,Data.source,#Ext,#Sur,T.Ext,T.Sur,lnor,vlnor
1,1,McRoberts&Newton 1995,b,sp,LH,Infaunal,Rhaetian,Rhaetian,global,NA,18,0,30,12,-3.188888889,0.620061728
2,2,McRoberts&Newton 1995,b,sp,LH,Epifaunal,Rhaetian,Rhaetian,global,NA,12,12,30,12,1.79375,0.348784722
3,3,McRoberts&Newton 1995,b,sp,LH,Infaunal,Rhaetian,Rhaetian,global,NA,16,0,45,5,-3.402777778,2.126736111
4,4,McRoberts&Newton 1995,b,sp,LH,Epifaunal,Rhaetian,Rhaetian,global,NA,29,5,45,5,0.753556324,0.470972703
5,5,McRoberts&Newton 1995,b,sp,LH,Infaunal,Rhaetian,Rhaetian,global,NA,12,1,23,4,-1.128762542,1.219063545
6,6,McRoberts&Newton 1995,b,sp,LH,Epifaunal,Rhaetian,Rhaetian,global,NA,10,3,23,4,1.309364548,1.219063545
7,1,Rivadeneira&Marquet 2007,b,sp,LH,Epifaunal,Serravallian,Calabrian,pacific coast South America,Rivandera/Marq database ,17,3,39,20,-2.445852564,0.647108974
8,2,Rivadeneira&Marquet 2007,b,sp,LH,Infaunal,Serravallian,Calabrian,pacific coast South America,Rivandera/Marq database,22,17,39,20,0.643222239,0.170179875
17,1,Jablonski&Raup 1995,b,gn,LH,Infaunal,Maastrichtian,Maastrichtian,global,Jablonski global database,114,84,167,130,-0.08180562,0.030677107
18,2,Jablonski&Raup 1995,b,gn,LH,Epifaunal,Maastrichtian,Maastrichtian,global,Jablonski global database,53,46,167,130,0.327222478,0.122708429
31,1,Jablonski 1986,b,gn,GR,Narrow,Maastrichtian,Maastrichtian,global,Jablonski global database,21,2,63,53,-7.45419743,0.876075888
32,2,Jablonski 1986,b,gn,GR,Broad,Maastrichtian,Maastrichtian,global,Jablonski global database,42,51,63,53,0.455922123,0.053583552
33,1,Jablonski 1986,g,gn,GR,Narrow,Maastrichtian,Maastrichtian,global,Jablonski global database,46,7,95,61,-3.180297767,0.231726507
34,2,Jablonski 1986,g,gn,GR,Broad,Maastrichtian,Maastrichtian,global,Jablonski global database,49,54,95,61,0.842063948,0.06135543
67,1,Knoll et al. 2007,b,gn,LH,Infaunal,Changhsingian,Changhsingian,global,"Sepkoski's genus database (R. K. Bambach, A.H. Knoll, J.J. Sepkoski Jr. 2002. Anamatomical and ecological constraints on Phanerozioc animal diversity in the marine realm, Proc. Natl. Acad. Sci. U.S.A. 99:6854-6859)",4,12,26,32,2.855994591,0.900259165
68,2,Knoll et al. 2007,b,gn,LH,Epifaunal,Changhsingian,Changhsingian,global,"Sepkoski's genus database (R. K. Bambach, A.H. Knoll, J.J. Sepkoski Jr. 2002. Anamatomical and ecological constraints on Phanerozioc animal diversity in the marine realm, Proc. Natl. Acad. Sci. U.S.A. 99:6854-6859)",22,20,26,32,-0.414475406,0.130649856
83,1,Bretsky 1973,b,gn,GR,Broad,Oxfordian,Tithonian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,14,75,57,146,1.387839528,0.126280334
84,2,Bretsky 1973,b,gn,GR,Inter,Oxfordian,Tithonian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,13,28,57,146,-0.885235711,0.595042548
85,3,Bretsky 1973,b,gn,GR,Narrow,Oxfordian,Tithonian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,30,44,57,146,-1.684465424,0.182663718
86,1,Bretsky 1973,b,gn,GR,Broad,Aalenian,Callovian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,4,69,22,132,1.507318446,0.234471758
87,2,Bretsky 1973,b,gn,GR,Inter,Aalenian,Callovian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,5,23,22,132,-1.59375,1.59375
88,3,Bretsky 1973,b,gn,GR,Narrow,Aalenian,Callovian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,13,40,22,132,-2.414738341,0.444820221
89,1,Bretsky 1973,b,gn,GR,Broad,Hettangian,Toarcian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,2,59,29,121,2.514526894,0.256759043
90,2,Bretsky 1973,b,gn,GR,Inter,Hettangian,Toarcian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,5,20,29,121,-0.25477344,1.528640638
91,3,Bretsky 1973,b,gn,GR,Narrow,Hettangian,Toarcian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,22,42,29,121,-2.24543974,0.233252051
92,1,Bretsky 1973,b,gn,GR,Broad,Carnian,Rhaetian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,17,47,84,129,1.785515567,0.216703599
93,2,Bretsky 1973,b,gn,GR,Inter,Carnian,Rhaetian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,16,25,84,129,0.089244458,0.528029709
94,3,Bretsky 1973,b,gn,GR,Narrow,Carnian,Rhaetian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,51,57,84,129,-0.639874116,0.076098932
95,1,Bretsky 1973,b,gn,GR,Broad,Anisian,Ladinian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,0,32,10,64,2.637695313,0.609967041
96,2,Bretsky 1973,b,gn,GR,Inter,Anisian,Ladinian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,0,10,10,64,8.440625,6.2460625
97,3,Bretsky 1973,b,gn,GR,Narrow,Anisian,Ladinian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,10,22,10,64,-3.461975098,0.609967041
101,1,Bretsky 1973,b,gn,GR,Broad,Changhsingian,Changhsingian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,21,30,54,66,0.360467419,0.184855087
102,2,Bretsky 1973,b,gn,GR,Inter,Changhsingian,Changhsingian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,13,16,54,66,0.028585498,0.571709965
#,Effect,In-text Citation,b/g,Tax,Type,Trait,Start,End,Location,Data.source,#Ext,#Sur,T.Ext,T.Sur,lnor,vlnor
104,1,Bretsky 1973,b,gn,GR,Broad,Asselian,Kungurian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,4,34,24,85,1.902216066,0.435591494
105,2,Bretsky 1973,b,gn,GR,Inter,Asselian,Kungurian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,5,18,24,85,0.076359391,1.189024797
106,3,Bretsky 1973,b,gn,GR,Narrow,Asselian,Kungurian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,15,33,24,85,-1.209719669,0.273000919
107,1,Bretsky 1973,b,gn,GR,Broad,Kasimovian,Gzhelian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,1,27,16,58,2.776912166,0.549442514
108,2,Bretsky 1973,b,gn,GR,Inter,Kasimovian,Gzhelian,global,Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2,6,19,16,58,-0.409806897,0.68922069
