Bin,Bin name,Base (Ma),Midpoint (Ma),Sampled genera,Range-through genera,Boundary-crosser genera,3T origination rate,BC origination rate,3T extinction rate,BC extinction rate,Good's u,Gap analysis diversity estimate,Three timer diversity estimate,Dominance,Dominant taxon,Evenness of occurrences (PIE),Chao-2 estimate,Jolly-Seber estimate,Incidence-based coverage estimate,Collections,Occurrences
86,Gelasian,2.6,1.3,54,54,54,NA,NA,NA,NA,0.406,NA,NA,0.058,Ostrea,0.96377,124,NA,133.1,4,69
85,Piacenzian,3.6,3.1,121,126,124,0.341,0.038,1.159,0.869,0.929,133.9,129.1,0.0404,Pecten,0.98368,141.5,133.6,132.2,21,421
84,Zanclean,5.3,4.5,444,454,357,1.228,0.058,0.925,1.116,0.954,485.5,454.6,0.0207,Ostrea,0.99258,549.8,493.8,490.2,277,2751
83,Messinian,7.2,6.3,105,379,368,0.536,0.008,0.363,0.039,0.941,464.6,286.2,0.048,Ostrea,0.97784,137,492.2,117.5,60,542
82,Tortonian,11.6,9.4,224,411,388,0.447,0.028,1.065,0.08,0.931,469,282.9,0.0369,Chlamys,0.98776,272.5,481.9,249.9,106,1030
81,Serravallian,13.7,12.6,211,426,400,0.934,0.037,0.501,0.067,0.924,496.3,275.9,0.1015,Chlamys,0.97908,337.2,510.1,241.8,116,1064
80,Langhian,16,14.8,139,421,405,0.548,0.018,0.524,0.03,0.827,492.1,262.3,0.035,Lucinoma,0.98373,207.3,514.4,172.1,48,371
79,Burdigalian,20.4,18.2,200,426,389,1.706,0.066,0.403,0.026,0.814,495.4,210.5,0.0396,Chlamys,0.98671,283.4,509.8,255.7,63,505
78,Aquitanian,23,21.7,33,392,388,0.352,0.008,0.479,0.005,0.717,471.8,207.9,0.1167,Pecten,0.93908,46.1,482.4,46,24,60
77,Chattian,28.4,25.7,325,466,407,0.34,0.089,2.429,0.137,0.94,539.1,367.4,0.0319,Pecten,0.98973,407.3,551.7,367.6,300,1758
76,Rupelian,33.9,31.1,326,464,390,0.602,0.137,0.592,0.094,0.978,533.3,414.9,0.0424,Glycymeris,0.98818,421.1,542.4,354.5,441,3846
75,Priabonian,37.2,35.5,374,493,397,0.71,0.152,0.664,0.17,0.949,580,438.8,0.0464,Chlamys,0.9893,527.6,594.9,426.5,482,2563
74,Bartonian,40.4,38.8,268,432,380,0.672,0.09,0.463,0.046,0.954,488.9,323.3,0.051,Chlamys,0.98386,375.2,502,308.6,228,2077
