Bin,Bin name,top,bottom,Midpoint (Ma),Sampled genera,Range-through genera,Boundary-crosser genera,3T origination rate,3T extinction rate,BC extinction rate,Good's u,Collections,Occurrences
86,Gelasian,1.8,2.6,2.2,62,62,62,NA,NA,NA,0.395,7,81
85,Piacenzian,2.6,3.6,3.1,1055,1055,895,0.337,2.663,NA,0.974,367,9529
84,Zanclean,3.7,5.3,4.5,802,1062,948,1.075,0.328,NA,0.955,341,5164
83,Messinian,5.4,7.2,6.3,373,990,953,0.492,0.342,0.024,0.927,148,2012
82,Tortonian,7.2,11.6,9.4,608,1034,976,0.58,0.915,0.067,0.974,312,6817
81,Serravallian,11.5,13.7,12.6,570,1066,1001,1.125,0.404,0.06,0.953,170,3734
80,Langhian,13.6,16,14.8,271,1032,999,0.492,0.457,0.018,0.788,48,670
79,Burdigalian,16,20.4,18.2,570,1051,954,0.895,1.157,0.036,0.962,192,4446
78,Aquitanian,20.4,23,21.7,360,1006,938,0.568,0.503,0.036,0.826,71,1027
77,Chattian,23,28.4,25.7,640,1069,954,0.509,1.153,0.091,0.924,339,3068
76,Rupelian,28.3,33.9,31.1,673,1062,894,0.594,0.597,0.066,0.969,487,6930
75,Priabonian,33.8,37.2,35.5,750,1064,920,0.607,0.717,0.129,0.951,541,5066
74,Bartonian,37.2,40.4,38.8,650,1032,905,0.686,0.486,0.075,0.965,259,5415
73,Lutetian,40.4,48.6,44.5,529,968,849,0.572,0.464,0.034,0.947,201,3174
72,Ypresian,48.6,55.8,52.2,581,917,708,1.007,0.52,0.027,0.962,377,4460
71,Thanetian,55.7,58.7,57.2,315,748,698,1.053,0.547,0.044,0.899,135,1279
70,Selandian,58.7,61.7,60.2,264,733,673,0.452,0.818,0.032,0.937,29,1170
69,Danian,61.7,65.5,63.6,550,777,551,0.798,1.198,0.103,0.926,353,3255
68,Maastrichtian,65.4,70.6,68,697,884,715,0.676,1.153,0.411,0.993,1172,21413
67,Campanian,70.5,83.5,77,516,770,602,1.277,0.4,0.049,0.971,627,4999
66,Santonian,83.6,85.8,84.7,236,622,576,0.993,0.35,0.021,0.927,299,1307
65,Coniacian,85.7,89.3,87.5,126,582,563,0.504,0.515,0.005,0.899,205,575
64,Turonian,89.3,93.5,91.4,260,599,547,0.515,1.158,0.039,0.955,700,2035
63,Cenomanian,93.4,99.6,96.5,361,606,499,0.567,0.764,0.066,0.972,812,3986
62,Albian,99.6,112,105.8,429,599,476,0.588,0.673,0.14,0.946,657,2912
61,Aptian,111.9,125.5,118.7,383,557,421,1.174,0.498,0.089,0.941,408,2221
60,Barremian,125.4,130,127.7,162,439,396,0.93,0.302,0.02,0.833,137,448
59,Hauterivian,130,136.4,133.2,119,408,384,0.521,0.682,0.01,0.949,133,721
58,Valanginian,136.4,140.2,138.3,180,417,375,0.963,0.737,0.072,0.948,257,1204
