Binned_top,Binned_bottom,Binned_stage,Binned_epoch,Binned_period,mean_d13C,stdev_d13C,N_d13C,mean_d18O,stdev_d18O,N_d18O,mean_d34S,stdev_d34S,N_d34S,mean_87Sr.86Sr,stdev_87Sr.86Sr,N_87Sr.86Sr,data_subset
0,1.81,Pleistocene-Holocene,Pleistocene-Holocene,Neogene,0.163295084,0.541700612,1136,3.905698509,0.635994652,1581,21.28357143,0.431236949,4,0.70914313,2.98E-05,284,All
1.81,2.59,Gelasian,Late Pliocene,Neogene,0.016486129,0.583931047,757,3.622278351,0.463870806,970,22.015,0.007071068,2,0.709072394,1.59E-05,71,All
2.59,3.6,Piacenzian,Early Pliocene,Neogene,0.02671875,0.499038718,832,3.249181074,0.430461758,1099,NA,NA,0,0.709052244,2.17E-05,78,All
3.6,5.33,Zanclean,Early Pliocene,Neogene,-0.06589372,0.555565692,1035,2.967523553,0.510264529,1486,21.86666667,0.338427737,3,0.709021339,3.21E-05,233,All
5.33,7.25,Messinian,Late Miocene,Neogene,0.266878914,0.662876925,958,2.801459566,0.729033925,1014,22.06,0.291976026,5,0.708954376,2.44E-05,101,All
7.25,11.61,Tortonian,Late Miocene,Neogene,1.016312741,0.38457708,518,2.505452865,0.876780743,541,22.03090909,0.162015712,11,0.708922784,4.22E-05,97,All
11.61,13.65,Serravallian,Middle Miocene,Neogene,1.42624053,0.419795453,1056,2.081383764,0.768377867,1084,22.1495,0.311880052,10,0.708832667,5.06E-05,132,All
13.65,15.97,Langhian,Middle Miocene,Neogene,1.714,0.367126166,260,1.412536232,0.898335075,276,21.9825,0.152027958,2,0.708775957,4.50E-05,70,All
15.97,20.43,Burdigalian,Early Miocene,Neogene,1.18088,0.497346398,250,1.467577855,0.988721299,289,21.8175,0.191898411,4,0.708559312,0.000124064,186,All
20.43,23.03,Aquitanian,Early Miocene,Neogene,1.228746518,0.421203171,359,1.731155914,0.802063046,372,21.95,0.070710678,2,0.708306298,6.06E-05,47,All
23.03,28.4,Chattian,Late Oligocene,Paleogene,0.778634361,0.356925659,681,1.828722787,0.811818834,689,21.59952381,0.211296075,7,0.708148517,9.30E-05,87,All
28.4,33.9,Rupelian,Early Oligocene,Paleogene,1.010434783,0.372483776,851,2.435771429,0.65322852,875,21.698,0.221743095,5,0.707927712,6.31E-05,66,All
33.9,37.2,Priabonian,Late Eocene,Paleogene,1.027013699,0.360582728,365,1.625828877,0.557753761,374,22.1085,0.399812803,10,0.707778375,5.43E-05,8,All
37.2,40.4,Bartonian,Middle Eocene,Paleogene,1.232605634,0.739212423,142,0.922123288,0.859817309,146,22.28,0.229172424,6,0.707757444,4.46E-05,9,All
40.4,48.6,Lutetian,Middle Eocene,Paleogene,1.216322314,0.85708477,242,0.390277778,0.765879648,252,22.4,NA,1,0.707772667,6.08E-05,15,All
48.6,55.8,Ypresian,Early Eocene,Paleogene,0.866191358,0.796715849,162,-0.268134831,0.739095663,178,19.332,1.520756756,10,0.70775,3.15E-05,11,All
55.8,58.7,Thanetian,Late Paleocene,Paleogene,2.055528497,1.191073431,193,0.046808824,0.751288252,204,17.52833333,0.307207856,6,0.707760333,5.11E-05,9,All
58.7,61.7,Selandian,Middle Paleocene,Paleogene,1.994030928,0.914380374,97,0.11205,0.841468922,100,18.14111111,0.143539905,3,0.7077836,7.56E-05,5,All
61.7,65.5,Danian,Early Paleocene,Paleogene,1.53207619,0.588067462,105,-0.034592593,0.722374072,108,18.970625,0.166571252,8,0.707846193,5.07E-05,57,All
65.5,70.6,Maastrichtian,Late Cretaceous,Cretaceous,1.894102689,0.820843632,409,-0.192212714,0.894305934,409,18.59888889,1.216608446,9,0.70778438,6.87E-05,71,All
70.6,83.5,Campanian,Late Cretaceous,Cretaceous,1.911346479,0.890066554,355,-1.073385475,1.130928942,358,18.656,0.54657113,15,0.707615,9.84E-05,90,All
83.5,85.8,Santonian,Late Cretaceous,Cretaceous,1.939090909,1.017854462,22,-2.059565217,1.167205202,23,17.66,0.895023277,4,0.707459818,7.00E-05,11,All
85.8,89.3,Coniacian,Late Cretaceous,Cretaceous,1.80173913,1.038717094,23,-1.985608696,1.227700317,23,18.165,NA,1,0.707352333,2.72E-05,9,All
89.3,93.5,Turonian,Late Cretaceous,Cretaceous,2.314,0.911631375,35,-1.920555556,0.946744631,36,18.85,0.278388218,3,0.707349565,0.000111389,23,All
93.5,99.6,Cenomanian,Late Cretaceous,Cretaceous,2.227793103,1.185563117,116,-1.973448276,1.434556198,116,18.82714286,0.451948164,7,0.70743456,6.89E-05,25,All
99.6,112,Albian,Early Cretaceous,Cretaceous,1.552599057,0.95359429,212,-1.211603774,1.029546108,212,15.77708333,0.663771792,12,0.707422641,5.60E-05,78,All
112,125,Aptian,Early Cretaceous,Cretaceous,3.434,1.17374046,25,-0.310925926,1.229863999,27,16.17928571,1.365935657,14,0.707299289,7.40E-05,21,All
125,130,Barremian,Early Cretaceous,Cretaceous,1.01302,0.901845179,100,-0.41586,0.623133042,100,17.931,2.413261279,5,0.707475433,3.02E-05,45,All
130,136.4,Hauterivian,Early Cretaceous,Cretaceous,0.89088854,0.703998194,91,0.237582298,0.425586527,92,16.79272727,1.514655676,11,0.707422829,3.13E-05,17,All
136.4,140.2,Valanginian,Early Cretaceous,Cretaceous,0.128320513,1.017256349,78,-0.325102564,0.675931365,78,17.9,4.424025316,6,0.70733668,7.79E-05,18,All
140.2,145.5,Berriasian,Early Cretaceous,Cretaceous,0.489735294,1.061726333,34,-1.091794118,1.023752361,34,13,NA,1,0.707293751,3.17E-05,4,All
145.5,150.8,Tithonian,Late Jurassic,Jurassic,0.485852459,1.167217845,122,-1.290798387,0.778694269,124,NA,NA,0,0.707087266,0.000128809,74,All
150.8,155.7,Kimmeridgian,Late Jurassic,Jurassic,1.442882353,1.227633391,34,-1.136452381,1.131800319,42,16,NA,1,0.706893779,7.37E-05,33,All
155.7,161.2,Oxfordian,Late Jurassic,Jurassic,1.837680851,1.540305143,141,-0.3854,0.794065886,142,15.4,NA,1,0.706866871,3.47E-05,31,All
161.2,164.7,Callovian,Middle Jurassic,Jurassic,1.724417582,1.17642022,91,-0.207493043,1.238566426,92,16.075,0.330403793,4,0.706887144,0.000119673,28,All
