"Binned_Age","Binned_Stage","mean_d13C","stdev_d13C","d13C_N","mean_d18O","stdev_d18O","d18O_N","data_subset"
"1",0,"Pleistocene-Recent",1.353467317125,0.864826822202393,24,0.012055939375,1.15447059922981,24,"All"
"2",2.59,"Zanclean-Placenzian",2.1195,0.532288752266543,20,-1.085,0.854631345576621,20,"All"
"3",5.33,"Messinian",2.26714285714286,0.768108375289891,7,-0.872857142857143,0.951309873905699,7,"All"
"4",7.25,"Tortonian",1.37,NA,1,2.5,NA,1,"All"
"5",11.61,"Serravallian",2.04509803921569,0.443009582510445,51,-0.0719607843137255,0.709287021191966,51,"All"
"6",13.65,"Langian",2.41363636363636,0.359212703330167,22,-0.447727272727273,1.01162260899522,22,"All"
"7",15.97,"Burdigalian",2.61538461538462,0.242920267598767,13,-0.782307692307692,0.664744986770038,13,"All"
"8",20.43,"Aquitanian",2.21090909090909,0.915469741982141,22,-0.548636363636364,0.910009395318037,22,"All"
"9",23.03,"Chattian",1.07761904761905,0.750523933739096,63,0.104285714285714,0.981800049096317,63,"All"
"10",28.4,"Rupelian",1.16421052631579,0.759837734953093,57,0.706140350877193,1.04876075575272,57,"All"
"11",33.9,"Priabonian",1.23759259259259,0.772484194587495,54,-0.646851851851852,1.70675994938006,54,"All"
"12",37.2,"Bartonian",1.82859649122807,0.824961987428363,57,-0.58140350877193,1.29608399005357,57,"All"
"13",40.4,"Lutetian",1.77314285714286,1.13254287368734,140,-1.18535714285714,1.28234071652504,140,"All"
"14",48.6,"Ypresian",1.98558823529412,0.742025039095903,34,-1.05882352941176,0.888535617559597,34,"All"
"15",55.8,"Selandian-Thanetian",3.05833333333333,1.13116252222454,90,-0.871222222222222,0.509601800434655,90,"All"
"16",61.7,"Danian",1.82846153846154,0.554761866700424,39,-0.663333333333333,0.343613409864336,39,"All"
"17",65.5,"Maastrichtian",2.2543598615917,0.713064363656359,289,-0.881453287197232,0.936830853083685,289,"All"
"18",72.1,"Campanian",2.33722891566265,0.626351403327905,249,-1.41895582329317,1.07562833946185,249,"All"
"19",83.5,"Santonian",2.525,0.558979151943695,14,-2.64214285714286,1.04964593716481,14,"All"
"20",85.8,"Coniacian?",2.53,0.426286288777859,11,-2.31727272727273,0.946700490219488,11,"All"
