Bin,Bin name,top,bottom,Midpoint (Ma),Sampled genera,Range-through genera,Prop Range-through,BC extinction rate,Collections,Occurrences
86,Gelasian,1.8,2.6,2.2,60,60,1,NA,7,79
85,Piacenzian,2.6,3.6,3.1,970,971,0.998970134,2.617,269,7274
84,Zanclean,3.7,5.3,4.5,779,988,0.788461538,0.141,329,4996
83,Messinian,5.4,7.2,6.3,347,903,0.38427464,0.025,143,1831
82,Tortonian,7.2,11.6,9.4,586,952,0.615546218,0.077,312,6653
81,Serravallian,11.5,13.7,12.6,414,947,0.437170011,0.055,115,1853
80,Langhian,13.6,16,14.8,242,927,0.261057174,0.016,49,553
79,Burdigalian,16,20.4,18.2,419,933,0.44908896,0.033,89,1188
78,Aquitanian,20.4,23,21.7,350,930,0.376344086,0.041,70,986
77,Chattian,23,28.4,25.7,622,988,0.629554656,0.101,325,2912
76,Rupelian,28.3,33.9,31.1,576,962,0.598752599,0.07,396,4178
75,Priabonian,33.8,37.2,35.5,655,956,0.685146444,0.119,480,3941
74,Bartonian,37.2,40.4,38.8,535,901,0.593784684,0.06,173,2546
73,Lutetian,40.4,48.6,44.5,479,864,0.554398148,0.045,156,2559
72,Ypresian,48.6,55.8,52.2,459,786,0.583969466,0.019,329,2805
71,Thanetian,55.7,58.7,57.2,265,656,0.403963415,0.037,115,873
70,Selandian,58.7,61.7,60.2,210,637,0.32967033,0.037,10,769
69,Danian,61.7,65.5,63.6,474,680,0.697058824,0.104,230,2132
68,Maastrichtian,65.4,70.6,68,620,798,0.776942356,0.408,547,9555
67,Campanian,70.5,83.5,77,364,642,0.566978193,0.043,526,3008
66,Santonian,83.6,85.8,84.7,194,567,0.342151675,0.027,274,1053
65,Coniacian,85.7,89.3,87.5,115,530,0.216981132,0.006,201,546
64,Turonian,89.3,93.5,91.4,247,552,0.447463768,0.045,698,2005
63,Cenomanian,93.4,99.6,96.5,333,566,0.588339223,0.067,803,3828
62,Albian,99.6,112,105.8,395,556,0.710431655,0.136,625,2715
61,Aptian,111.9,125.5,118.7,357,518,0.689189189,0.089,376,2031
60,Barremian,125.4,130,127.7,148,402,0.368159204,0.014,125,394
59,Hauterivian,130,136.4,133.2,111,366,0.303278689,0.015,129,681
58,Valanginian,136.4,140.2,138.3,147,368,0.399456522,0.052,241,1096
57,Berriasian,140.1,145.5,142.8,98,346,0.283236994,0.033,173,717
56,Tithonian,145.6,150.8,148.2,211,389,0.542416452,0.123,347,2582
55,Kimmeridgian,150.7,155.7,153.2,225,396,0.568181818,0.057,321,2182
54,Oxfordian,155.6,161.2,158.4,245,404,0.606435644,0.082,454,3361
53,Callovian,161.1,164.7,162.9,280,429,0.652680653,0.109,559,4742
52,Bathonian,164.7,167.7,166.2,251,402,0.624378109,0.018,350,2476
51,Bajocian,167.6,171.6,169.6,174,347,0.501440922,0.023,197,857
50,Aalenian,171.6,175.6,173.6,108,315,0.342857143,0.037,242,787
49,Toarcian,175.6,183,179.3,159,316,0.503164557,0.044,437,2298
48,Pliensbachian,183,189.6,186.3,164,311,0.52733119,0.073,682,3390
47,Sinemurian,189.7,196.5,193.1,155,301,0.514950166,0.043,411,1734
