Time..my.,del.18O,del.13C,X87Sr.86Sr,del.34S,sea_level,del.13C..first.diffs.,X87Sr.86Sr..first.diffs.,del.34S..first.diffs.,sea_level...first.diffs.,sea_level_residuals,Sea_level_state
467.9,-7.2945,-1.073,0.7087,26.658,81.732,-0.68729,0.00023,0.453,-7.414,-11.65573403,LS
462.45,-5.9429,-0.38571,0.70847,26.205,89.146,0.30012,0.00032,1.359,-7.156,-1.664525696,LS
459.95,-5.2067,-0.68583,0.70815,24.846,96.302,-0.632795,8.00E-05,0.369,-1.526,6.655730607,HS
456.25,-5.0705,-0.053035,0.70807,24.477,97.828,-0.221585,0.00017,0.043,2.945,9.884112541,HS
451.75,-5.1292,0.16855,0.7079,24.434,94.883,-1.65045,-3.00E-05,-0.55,16.434,8.976252217,HS
446.85,-3.9971,1.819,0.70793,24.984,78.449,0.8615,-1.00E-04,-1.552,7.397,-5.28112637,LS
441.35,-4.2996,0.9575,0.70803,26.536,71.052,-0.3697,-4.00E-05,-2.017,-6.401,-10.2866379,LS
437.5,-4.2596,1.3272,0.70807,28.553,77.453,0.0427,-0.00017,0.669,-5.882,-2.244105753,LS
432.1,-5.2579,1.2845,0.70824,27.884,83.335,-0.4154,-0.00016,0.897,-4.002,5.895192522,HS
425.55,-4.6173,1.6999,0.7084,26.987,87.337,-0.8646,-0.00026,0.273,6.614,12.56452288,HS
420.8,-4.8874,2.5645,0.70866,26.714,80.723,2.17536,-7.00E-05,1.417,5.475,7.836371877,HS
417.35,-5.5015,0.38914,0.70873,25.297,75.248,-1.84486,2.00E-05,1.166,5.558,3.705544738,HS
413.6,-5.8099,2.234,0.70871,24.131,69.69,0.7829,0.00021,3.201,5.508,-0.415781833,LS
409.1,-5.3546,1.4511,0.7085,20.93,64.182,1.09819,0.00057,1.92,2.043,-4.233301758,LS
402.25,-5.9518,0.35291,0.70793,19.01,62.139,-0.54472,2.00E-05,-0.677,-8.067,-3.773230132,LS
394.65,-3.9459,0.89763,0.70791,19.687,70.206,-0.01204,6.00E-05,-0.968,-6.492,6.971720653,HS
388.55,-5.1461,0.90967,0.70785,20.655,76.698,0.08731,-0.00026,-1.376,0.017,15.53765544,HS
379.9,-5.9852,0.82236,0.70811,22.031,76.681,-0.18964,-0.00014,0.608,15.472,18.34633714,HS
