Order,Bin name,Start (Ma),Midpt,End (Ma)
-1,Recent,0.011,0.0055,0
0,Calabrian,1.81,0.9105,0.011
1,Gelasian,2.6,2.205,1.81
2,Piacenzian,3.6,3.1,2.6
3,Zanclean,5.33,4.465,3.6
4,Messinian,7.2,6.265,5.33
5,Tortonian,11.61,9.405,7.2
6,Serravallian,13.8,12.705,11.61
7,Langhian,15.97,14.885,13.8
8,Burdigalian,20.4,18.185,15.97
9,Aquitanian,23.03,21.715,20.4
10,Chattian,28.4,25.715,23.03
11,Rupelian,33.9,31.15,28.4
12,Priabonian,37.2,35.55,33.9
13,Bartonian,40.4,38.8,37.2
14,Lutetian,48.6,44.5,40.4
15,Ypresian,55.8,52.2,48.6
16,Thanetian,58.7,57.25,55.8
17,Selandian,61.7,60.2,58.7
18,Danian,65.5,63.6,61.7
19,Maastrichtian,70.6,68.05,65.5
20,Campanian,83.5,77.05,70.6
21,Santonian,85.8,84.65,83.5
22,Coniacian,89.3,87.55,85.8
23,Turonian,93.5,91.4,89.3
24,Cenomanian,99.6,96.55,93.5
25,Albian,112,105.8,99.6
26,Aptian,125,118.5,112
27,Barremian,130,127.5,125
28,Hauterivian,136.4,133.2,130
29,Valanginian,140.2,138.3,136.4
30,Berriasian,145.5,142.85,140.2
31,Tithonian,150.8,148.15,145.5
32,Kimmeridgian,155.7,153.25,150.8
33,Oxfordian,161.2,158.45,155.7
34,Callovian,164.7,162.95,161.2
35,Bathonian,167.7,166.2,164.7
36,Bajocian,171.6,169.65,167.7
37,Aalenian,175.6,173.6,171.6
38,Toarcian,183,179.3,175.6
39,Pliensbachian,189.6,186.3,183
40,Sinemurian,196.5,193.05,189.6
41,Hettangian,199.6,198.05,196.5
42,Rhaetian,203.6,201.6,199.6
43,Norian,216.5,210.05,203.6
44,Carnian,228,222.25,216.5
45,Ladinian,237,232.5,228
46,Anisian,245,241,237
47,Olenekian,249.7,247.35,245
48,Changhsingian,255,253,251
49,Induan,251,250.5,250
50,Wuchiapingian,260.5,257.15,253.8
51,Capitanian,265,262.75,260.5
52,Wordian,268,266.5,265
53,Roadian,272.5,270.25,268
54,Kungurian,279.5,276,272.5
55,Artinskian,284,281.75,279.5
56,Sakmarian,290,287,284
57,Asselian,299,294.5,290
58,Gzhelian,305,302,299
59,Kasimovian,306,305.5,305
60,Moscovian,312,309,306
61,Bashkirian,318.1,315.05,312
62,Serpukhovian,327.05,322.575,318.1
63,Visean,345.3,336.175,327.05
64,Tournaisian,360.7,353,345.3
65,Famennian,376.1,368.4,360.7
66,Frasnian,383.7,379.9,376.1
67,Givetian,388.1,385.9,383.7
68,Eifelian,391.9,390,388.1
69,Emsian,409.1,400.5,391.9
70,Pragian,412.3,410.7,409.1
71,Lochkovian,418.1,415.2,412.3
72,Pridolian,418.7,418.4,418.1
73,Ludfordian,421.3,420,418.7
74,Gorstian,422.9,422.1,421.3
75,Homerian,426.2,424.55,422.9
76,Sheinwoodian,428.2,427.2,426.2
77,Telychian,436,432.1,428.2
78,Aeronian,439,437.5,436
79,Rhuddanian,443.7,441.35,439
80,Hirnantian,445.6,444.65,443.7
81,Katian,455.8,450.7,445.6
82,Sandblian,460.5,458.15,455.8
83,Darriwilian,468.1,464.3,460.5
84,Dapingian,471.8,469.95,468.1
85,Floian,479,475.4,471.8
86,Tremadocian,490,484.5,479
