"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals"
0,1.81,"Recent","Pleistocene-Holocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,NA,NA,1.19784566487097,0.896171380326212,31,0.267233563625,1.71440945636033,40,NA,NA
0,1.81,"Pleistocene","Pleistocene-Holocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,NA,NA,1.19784566487097,0.896171380326212,31,0.267233563625,1.71440945636033,40,NA,NA
1.81,2.59,"Gelasian","Late Pliocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,NA,0.012,1.59047455657342,0.699471504373469,30,-0.311575525879808,1.39546206583425,33,NA,NA
2.59,3.6,"Piacenzian","Early Pliocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,NA,0.012,1.59047455657342,0.699471504373469,30,-0.311575525879808,1.39546206583425,33,NA,NA
3.6,5.33,"Zanclean","Early Pliocene","Neogene",195,-1.03941,2.55835,0.70899,21.9555,NA,0.036,1.98616710875332,0.593897745501701,21,-0.688613360323887,1.05024222085465,32,NA,NA
5.33,7.25,"Messinian","Late Miocene","Neogene",162.333333333333,-0.927266666666667,2.51133333333333,0.708966666666667,21.9926666666667,0.101,0.013,1.93588918361332,0.49914117735386,19,-0.600101214574899,1.06061453681702,34.3333333333333,NA,-20.43739485
7.25,11.61,"Tortonian","Late Miocene","Neogene",74,-0.81166,2.46103333333333,0.708903333333333,22.0526666666667,0.079,0.011,1.95942260208927,0.478217724735443,27.3333333333333,-0.372330733023929,0.983250233544982,53,-0.25,-19.85344485
11.61,13.65,"Serravallian","Middle Miocene","Neogene",97.6666666666667,-0.863686666666667,2.4125,0.708843333333333,22.0483333333333,0.031,0.009,2.1008911335578,0.369614004984606,30.3333333333333,-0.406453540041473,0.956903865145477,53,0.488,-18.25730778
13.65,15.97,"Langhian","Middle Miocene","Neogene",81.3333333333333,-0.866846666666667,2.47813333333333,0.708723333333333,21.9856666666667,0.031,0.009,2.36090822757489,0.347378080498136,29.6666666666667,-0.413603999644763,0.883928467664311,57.6666666666667,-1.297,-18.44190388
15.97,20.43,"Burdigalian","Early Miocene","Neogene",67.3333333333333,-0.835506666666667,2.3289,0.70855,21.8793333333333,0.036,0,2.41331002331002,0.505867570970358,19,-0.499775687832233,0.875441751138651,41.6666666666667,-1.15,-18.84480749
20.43,23.03,"Aquitanian","Early Miocene","Neogene",74.6666666666667,-0.619433333333333,1.73949333333333,0.70834,21.7723333333333,0.121,0.046,1.96797091797092,0.636304647773335,32.6666666666667,-0.231306451360773,0.914092489130945,52.6666666666667,3.779,-13.9216269
23.03,28.4,"Chattian","Late Oligocene","Paleogene",146.666666666667,-0.465816666666667,1.11909333333333,0.70813,21.7316666666667,0.101,0.048,1.46669309788122,0.687534453298071,129.333333333333,-0.635226465251269,1.13889106757698,143.666666666667,3.275,-9.477254873
28.4,33.9,"Rupelian","Early Oligocene","Paleogene",247.666666666667,-0.31455,1.08796,0.707953333333333,21.8263333333333,0.101,0.048,1.08079951639708,0.572362501129902,164.333333333333,-1.07667254368264,1.4178693732604,177.666666666667,1.58,-6.604202176
33.9,37.2,"Priabonian","Late Eocene","Paleogene",296.666666666667,-0.333853333333333,1.66603333333333,0.70782,22.0323333333333,0.163,0.076,1.33112533093342,0.597175185692991,162.333333333333,-1.33043226045321,1.48514185201286,174.333333333333,-0.076,-4.962890781
37.2,40.4,"Bartonian","Middle Eocene","Paleogene",274.666666666667,-0.593016666666667,2.37976666666667,0.707766666666667,22.2116666666667,0.083,0.033,1.55165589827587,0.842486248864446,108,-1.16213614593378,1.39012917473489,115.666666666667,8.731,5.119307638
40.4,48.6,"Lutetian","Middle Eocene","Paleogene",207.333333333333,-1.07719666666667,2.68746666666667,0.707756666666667,21.3593333333333,0.036,0.024,1.86244252788835,0.899843300070535,77,-0.945007877959928,1.11770735608437,86.3333333333333,-4.416,1.678898299
48.6,55.8,"Ypresian","Early Eocene","Paleogene",181.333333333333,-1.24042333333333,2.8138,0.707763333333333,19.9016666666667,0.038,0.014,2.2723548085901,1.00191014500259,88,-1.06261213450292,0.868439587017676,97.6666666666667,6.524,9.86786196
55.8,58.7,"Thanetian","Late Paleocene","Paleogene",173,-1.346085,2.7736,0.70776,18.705,0.048,0.018,2.52196078431373,0.936593780660222,62,-1.01821820175439,0.676764040625289,71.5,4.686,16.70984029
58.7,61.7,"Selandian","Middle Paleocene","Paleogene",228.5,-0.78591,2.3813,0.70781,18.262,0.035,0.004,2.44339743589744,0.842962194462482,64.5,-0.784679075738125,0.426125564042978,68,4.686,16.70984029
61.7,65.5,"Danian","Early Paleocene","Paleogene",469,-0.925006666666667,2.3919,0.7078,18.4586666666667,0.104,0.106,2.35052102790513,0.842365241382247,143.666666666667,-0.79592466435347,0.60706651906816,146.333333333333,-0.948,17.51152762
65.5,70.6,"Maastrichtian","Late Cretaceous","Cretaceous",598,-0.900725,2.1264,0.707815,18.739,0.048,0.053,1.99661487519103,0.6979666009611,170.5,-0.744939628109152,0.653151276483854,172,-4.672,14.08516456
70.6,83.5,"Campanian","Late Cretaceous","Cretaceous",646.333333333333,-1.4163,2.36806666666667,0.707616666666667,18.478,0.048,0.053,2.22254976716541,0.705796213803115,191.333333333333,-1.7604243281471,1.086864788522,193,-6.263,8.927693254
83.5,85.8,"Santonian","Late Cretaceous","Cretaceous",390,-1.67876666666667,2.29426666666667,0.707473333333333,18.2973333333333,0.021,0.024,2.02564962872862,0.57181660315886,130,-2.79069814366424,0.963832664464298,131.333333333333,9.051,20.10527227
