"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.max","BC.extinction.ratePBDB.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","Volcanism","Flood_basalt","Bolide","OA"
0,1.81,"Pleistocene","Pleistocene-Holocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,NA,NA,NA,NA,1.19784566487097,0.896171380326212,31,0.267233563625,1.71440945636033,40,NA,NA,2.02,0.322268743,8,-0.855,0.473315727,10,21.28357143,0.431236949,4,0.70914313,2.98e-05,284,0,0,0,0
1.81,2.59,"Gelasian","Late Pliocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,NA,0.012,NA,0.012,1.59047455657342,0.699471504373469,30,-0.311575525879808,1.39546206583425,33,NA,NA,2.003333333,0.2136196,3,-1.2,0.34394767,3,22.015,0.007071068,2,0.709072394,1.59e-05,71,0,0,0,0
2.59,3.6,"Piacenzian","Early Pliocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,NA,0.012,NA,0.012,1.59047455657342,0.699471504373469,30,-0.311575525879808,1.39546206583425,33,NA,NA,2.325,0.211266025,4,-1.6475,0.135492927,4,NA,NA,0,0.709052244,2.17e-05,78,0,0,0,0
3.6,5.33,"Zanclean","Early Pliocene","Neogene",195,-1.03941,2.55835,0.70899,21.9555,NA,0.036,NA,0.036,1.98616710875332,0.593897745501701,21,-0.688613360323887,1.05024222085465,32,NA,NA,2.330833333,0.283146552,12,-1.197058824,0.431186803,17,21.86666667,0.338427737,3,0.709021339,3.21e-05,233,0,0,0,0
5.33,7.25,"Messinian","Late Miocene","Neogene",162.333333333333,-0.927266666666667,2.51133333333333,0.708966666666667,21.9926666666667,0.101,0.013,0.101,0.013,1.93588918361332,0.49914117735386,19,-0.600101214574899,1.06061453681702,34.3333333333333,NA,-20.43739485,2.795,0.185562209,4,-0.931071429,0.440213242,28,22.06,0.291976026,5,0.708954376,2.44e-05,101,0,0,0,0
7.25,11.61,"Tortonian","Late Miocene","Neogene",74,-0.81166,2.46103333333333,0.708903333333333,22.0526666666667,0.079,0.011,0.079,0.011,1.95942260208927,0.478217724735443,27.3333333333333,-0.372330733023929,0.983250233544982,53,-0.25,-19.85344485,NA,NA,0,-0.688235294,0.541409331,34,22.03090909,0.162015712,11,0.708922784,4.22e-05,97,0,0,0,0
11.61,13.65,"Serravallian","Middle Miocene","Neogene",97.6666666666667,-0.863686666666667,2.4125,0.708843333333333,22.0483333333333,0.031,0.009,0.031,0.009,2.1008911335578,0.369614004984606,30.3333333333333,-0.406453540041473,0.956903865145477,53,0.488,-18.25730778,2.215,0.278549816,6,-0.763823529,0.59927236,34,22.1495,0.311880052,10,0.708832667,5.06e-05,132,0,0,0,0
13.65,15.97,"Langhian","Middle Miocene","Neogene",81.3333333333333,-0.866846666666667,2.47813333333333,0.708723333333333,21.9856666666667,0.031,0.009,0.031,0.009,2.36090822757489,0.347378080498136,29.6666666666667,-0.413603999644763,0.883928467664311,57.6666666666667,-1.297,-18.44190388,2.574,0.214196172,5,-1.106315789,0.702172902,19,21.9825,0.152027958,2,0.708775957,4.5e-05,70,0,0,0,0
15.97,20.43,"Burdigalian","Early Miocene","Neogene",67.3333333333333,-0.835506666666667,2.3289,0.70855,21.8793333333333,0.036,0,0.036,0,2.41331002331002,0.505867570970358,19,-0.499775687832233,0.875441751138651,41.6666666666667,-1.15,-18.84480749,2.629166667,0.24835672,12,-0.7475,0.532025951,32,21.8175,0.191898411,4,0.708559312,0.000124064,186,1,1,0,0
20.43,23.03,"Aquitanian","Early Miocene","Neogene",74.6666666666667,-0.619433333333333,1.73949333333333,0.70834,21.7723333333333,0.121,0.046,0.121,0.046,1.96797091797092,0.636304647773335,32.6666666666667,-0.231306451360773,0.914092489130945,52.6666666666667,3.779,-13.9216269,1.839090909,0.859342243,11,-0.72,0.372209618,21,21.95,0.070710678,2,0.708306298,6.06e-05,47,0,0,0,0
23.03,28.4,"Chattian","Late Oligocene","Paleogene",146.666666666667,-0.465816666666667,1.11909333333333,0.70813,21.7316666666667,0.101,0.048,0.101,0.048,1.46669309788122,0.687534453298071,129.333333333333,-0.635226465251269,1.13889106757698,143.666666666667,3.275,-9.477254873,0.791470588,0.350291068,34,-0.404864865,0.464103806,37,21.59952381,0.211296075,7,0.708148517,9.3e-05,87,0,0,0,0
28.4,33.9,"Rupelian","Early Oligocene","Paleogene",247.666666666667,-0.31455,1.08796,0.707953333333333,21.8263333333333,0.101,0.048,0.101,0.048,1.08079951639708,0.572362501129902,164.333333333333,-1.07667254368264,1.4178693732604,177.666666666667,1.58,-6.604202176,0.766086957,0.333558488,23,-0.268,0.264606626,25,21.698,0.221743095,5,0.707927712,6.31e-05,66,1,1,0,0
33.9,37.2,"Priabonian","Late Eocene","Paleogene",296.666666666667,-0.333853333333333,1.66603333333333,0.70782,22.0323333333333,0.163,0.076,0.163,0.076,1.33112533093342,0.597175185692991,162.333333333333,-1.33043226045321,1.48514185201286,174.333333333333,-0.076,-4.962890781,1.676363636,0.730852553,11,-0.24,0.188293774,12,22.1085,0.399812803,10,0.707778375,5.43e-05,8,0,0,1,0
37.2,40.4,"Bartonian","Middle Eocene","Paleogene",274.666666666667,-0.593016666666667,2.37976666666667,0.707766666666667,22.2116666666667,0.083,0.033,0.083,0.033,1.55165589827587,0.842486248864446,108,-1.16213614593378,1.39012917473489,115.666666666667,8.731,5.119307638,2.545789474,0.549295668,19,-0.480952381,0.1944712,21,22.28,0.229172424,6,0.707757444,4.46e-05,9,0,0,0,0
40.4,48.6,"Lutetian","Middle Eocene","Paleogene",207.333333333333,-1.07719666666667,2.68746666666667,0.707756666666667,21.3593333333333,0.036,0.024,0.036,0.024,1.86244252788835,0.899843300070535,77,-0.945007877959928,1.11770735608437,86.3333333333333,-4.416,1.678898299,2.907857143,0.233386615,28,-1.029142857,0.452622238,35,22.4,NA,1,0.707772667,6.08e-05,15,1,0,0,0
48.6,55.8,"Ypresian","Early Eocene","Paleogene",181.333333333333,-1.24042333333333,2.8138,0.707763333333333,19.9016666666667,0.038,0.014,0.038,0.014,2.2723548085901,1.00191014500259,88,-1.06261213450292,0.868439587017676,97.6666666666667,6.524,9.86786196,2.560684211,0.348619508,19,-1.701461538,0.336311074,26,19.332,1.520756756,10,0.70775,3.15e-05,11,0,0,0,1
55.8,58.7,"Thanetian","Late Paleocene","Paleogene",173,-1.346085,2.7736,0.70776,18.705,0.048,0.018,0.048,0.018,2.52196078431373,0.936593780660222,62,-1.01821820175439,0.676764040625289,71.5,4.686,16.70984029,3.670771429,1.047870869,35,-1.078405405,0.569827774,37,17.52833333,0.307207856,6,0.707760333,5.11e-05,9,0,0,0,0
58.7,61.7,"Selandian","Middle Paleocene","Paleogene",228.5,-0.78591,2.3813,0.70781,18.262,0.035,0.004,0.035,0.004,2.44339743589744,0.842962194462482,64.5,-0.784679075738125,0.426125564042978,68,4.686,16.70984029,2.083607143,0.932319145,28,-0.835166667,0.519971623,30,18.14111111,0.143539905,3,0.7077836,7.56e-05,5,0,0,0,0
