"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.PBDB3","BC.extinction.rate.max","BC.extinction.ratePBDB.max","BC.extinction.rate.PBDB3.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","mean_d13C.detrended.prok","mean_d18O.detrended.prok","mean_d34S.detrended.prok","Volcanism","Flood_basalt","Bolide","OA"
0.01,1.81,"Pleistocene","Pleistocene-Holocene","Neogene",NA,NA,NA,NA,NA,NA,0.004,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,0.322268743,8,-0.855,0.473315727,10,21.28357143,0.431236949,4,0.70914313,2.98e-05,284,-0.392937475587924,-0.565461813671222,3.52780179600689,0,0,0,0
1.81,2.59,"Gelasian","Late Pliocene","Neogene",NA,NA,NA,NA,NA,NA,0.004,NA,NA,0.004,NA,1.19784566487097,0.896171380326212,31,0.267233563625,1.71440945636033,40,NA,NA,2.003333333,0.2136196,3,-1.2,0.34394767,3,22.015,0.007071068,2,0.709072394,1.59e-05,71,-0.405665968487094,-0.889034824286344,4.2409758600323,0,0,0,0
2.59,3.6,"Piacenzian","Early Pliocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,NA,0.008,NA,NA,0.008,NA,1.98310344827586,0.502771628420725,29,-0.890384615384615,1.07651467530817,26,NA,NA,2.325,0.211266025,4,-1.6475,0.135492927,4,NA,NA,0,0.709052244,2.17e-05,78,-0.0823021877861853,-1.3273010940542,NA,0,0,0,0
3.6,5.33,"Zanclean","Early Pliocene","Neogene",341,-1.1607,2.3932,0.70902,21.924,0.035,0.02,0.083,0.035,0.02,0.141,1.98310344827586,0.502771628420725,29,-0.890384615384615,1.07651467530817,26,NA,NA,2.330833333,0.283146552,12,-1.197058824,0.431186803,17,21.86666667,0.338427737,3,0.709021339,3.21e-05,233,-0.0742713101221889,-0.864903421215131,4.07458973130606,0,0,0,0
5.33,7.25,"Messinian","Late Miocene","Neogene",49,-0.91812,2.7235,0.70896,21.987,0.068,0.0085,0.081,0.101,0.0085,0.141,1.98923076923077,0.685023862582678,13,-0.486842105263158,1.02396976640112,38,NA,-19.51604916,2.795,0.185562209,4,-0.931071429,0.440213242,28,22.06,0.291976026,5,0.708954376,2.44e-05,101,0.393659468034953,-0.578436086084843,4.25047538432482,0,0,0,0
7.25,11.61,"Tortonian","Late Miocene","Neogene",97,-0.70298,2.4173,0.70892,22.067,0.09,0.012,0.066,0.101,0.012,0.077,1.83533333333333,0.309628041058176,15,-0.423076923076923,1.08135916874176,39,-0.353,-18.8508855033333,NA,NA,0,-0.688235294,0.541409331,34,22.03090909,0.162015712,11,0.708922784,4.22e-05,97,NA,-0.312870768974929,4.20202057848438,0,0,0,0
11.61,13.65,"Serravallian","Middle Miocene","Neogene",76,-0.81388,2.2423,0.70883,22.104,0.079,0.011,0.055,0.079,0.011,0.055,2.0537037037037,0.440001270565474,54,-0.207073170731707,0.844421765492065,82,-0.653,-18.51467305,2.215,0.278549816,6,-0.763823529,0.59927236,34,22.1495,0.311880052,10,0.708832667,5.06e-05,132,-0.17267659088594,-0.336844819600331,4.2766393083467,0,0,0,0
13.65,15.97,"Langhian","Middle Miocene","Neogene",120,-1.0742,2.5779,0.70878,21.974,0.055,0.01,0.016,0.079,0.01,0.016,2.41363636363636,0.359212703330167,22,-0.58921052631579,0.944930661202607,38,0.444,-17.06944609,2.574,0.214196172,5,-1.106315789,0.702172902,19,21.9825,0.152027958,2,0.708775957,4.5e-05,70,0.190762014177973,-0.655187323608547,4.08906516901623,0,0,0,0
15.97,20.43,"Burdigalian","Early Miocene","Neogene",48,-0.71246,2.6142,0.70856,21.879,0.0383333333333333,0.00466666666666667,0.03,0.048,0.00466666666666667,0.041,2.61538461538462,0.242920267598767,13,-0.444528301886792,0.862432976298261,53,1.968,-14.0812297543333,2.629166667,0.24835672,12,-0.7475,0.532025951,32,21.8175,0.191898411,4,0.708559312,0.000124064,186,0.250976506544777,-0.268907106225734,3.90066712820903,1,1,0,0
20.43,23.03,"Aquitanian","Early Miocene","Neogene",34,-0.71986,1.7946,0.70831,21.785,0.0845,0.0255,0.071,0.121,0.0255,0.101,2.21090909090909,0.915469741982141,22,-0.465588235294118,0.818961615915084,34,2.878,-10.001027983,1.839090909,0.859342243,11,-0.72,0.372209618,21,21.95,0.070710678,2,0.708306298,6.06e-05,47,-0.529395242344902,-0.188609110282911,3.98818641182966,0,0,0,0
