Study ID,Effect,Coder,Biblio info,,,,Selectivity info,,,,,,,,Odds ratio,,Log odds ratio,,Raw numbers,,,,Proportions,,,Computing d in designs with indpt groups,,,,,,,,,,,,,,,Computing d in designs with paired groups,,,,,,,,,,,,,,,Computing d in designs with indpt groups using ANCOVA,,,,,,,,,,,,,,,,,,,,,,,Computing r w/ indpt grps,,,,,,,,,Extinction info,,,,,Ratio survive/extinct,Notes,Chi Square,,,,,,,Extinction Rate,,,,,GLM,,,,,Mean Species Duration/Longevity,,,,
,#,,Full citation,In-text Citation,Year,Type,Phylum,Taxon,Tax level,Trait,Trait category,Age/event,Location,Data source,Odds Ratio,Var Odds Ratio,Log odds ratio,Var Lnor,# Ext,# Surv,Total # Ext,Total # Surv,Prop ext,Prop surv,Total # sp,Y1,Y2,Spool,n1,n2,t,n1,n2,F,n1,n2,p,1 or 2,n1,n2,Y1,Y2,Sdiff,r,n,t,r,n,F,r,n,p,1 or 2,r,n,Y1,Y2,Spool,n1,n2,R,q,t,n1,n2,R,q,F,n1,n2,R,q,p,1 or 2,n1,n2,R,q,r,n,t,n,t,r,p,1 or 2,r,Magnitude,Era,Duration,Geo scope,Cause,,,x-square,n,df,p (sur/extinct),% group a extinct,% group b extinct,p (before/after),n,per-capita extinct/orig,,,,coefficient,d.f.,p,Note,,Test type,Trait Type Species Total ,Mean Duration,p,z
Smith1998SEA,1,RL,"Smith, A.B. and C. H. Jeffery. 1998. Selectivity of extinction among sea urchins at the end of the Cretaceous period. Nature 392: 69-71.",Smith and Jeffery 1998,1998,PR,Echino,echinoid,sp,Life Habit,Infaunal,K/T,global,,,,,,25,10,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,S,global,bolide,,The ratio of genera that survived to genera that became extinct is 1.7 for,,,,,,,,,,,,,,,,,,,,,,
Smith1998SEA,2,RL,"Smith, A.B. and C. H. Jeffery. 1998. Selectivity of extinction among sea urchins at the end of the Cretaceous period. Nature 392: 69-71.",Smith and Jeffery 1998,1998,PR,Echino,echinoid,sp,Life Habit,Epifaunal,K/T,global,,,,,,75,0,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,S,global,bolide,,"the cosmopolitans and 0.3 for the endemic group, an unequivocal indication",,,,,,,,,,,,,,,,,,,,,,
McRoberts1995SEA,1,EO,"McRoberts, Christopher A. and Cathryn R. Newton. 1995. Selective extinction among end-Triassic European bivalves. Geology 23: 102-104.",McRoberts and Newton 1995,1995,PR,Mollusca,bivalve,sp,Life Habit,Infaunal,End Triassic,global,,,,,,18,0,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,,,that endemic forms were appreciably more susceptible than cosmopolitans,,,,,,,,,,,,,,,,,,,,,,
McRoberts1995SEA,2,EO,"McRoberts, Christopher A. and Cathryn R. Newton. 1995. Selective extinction among end-Triassic European bivalves. Geology 23: 102-104.",McRoberts and Newton 1995,1995,PR,Mollusca,bivalve,sp,Life Habit,Epifaunal,End Triassic,global,,,,,,12,12,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,,,to extinction.,,,,,,,,,,,,,,,,,,,,,,
McRoberts1995SEA,3,EO,"McRoberts, Christopher A. and Cathryn R. Newton. 1995. Selective extinction among end-Triassic European bivalves. Geology 23: 102-104.",McRoberts and Newton 1995,1995,PR,Mollusca,bivalve,sp,Life Habit,Infaunal,End Triassic,global,,,,,,16,0,45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,,,,,,,,,,,,,,,,,,,,,,,,,
McRoberts1995SEA,4,EO,"McRoberts, Christopher A. and Cathryn R. Newton. 1995. Selective extinction among end-Triassic European bivalves. Geology 23: 102-104.",McRoberts and Newton 1995,1995,PR,Mollusca,bivalve,sp,Life Habit,Epifaunal,End Triassic,global,,,,,,29,5,45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,,,,,,,,,,,,,,,,,,,,,,,,,
McRoberts1995SEA,5,EO,"McRoberts, Christopher A. and Cathryn R. Newton. 1995. Selective extinction among end-Triassic European bivalves. Geology 23: 102-104.",McRoberts and Newton 1995,1995,PR,Mollusca,bivalve,sp,Life Habit,Infaunal,End Triassic,global,,,,,,12,1,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,,,,,,,,,,,,,,,,,,,,,,,,,
McRoberts1995SEA,6,EO,"McRoberts, Christopher A. and Cathryn R. Newton. 1995. Selective extinction among end-Triassic European bivalves. Geology 23: 102-104.",McRoberts and Newton 1995,1995,PR,Mollusca,bivalve,sp,Life Habit,Epifaunal,End Triassic,global,,,,,,10,3,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,,,,,,,,,,,,,,,,,,,,,,,,,
Rivadeneira2007SEL,1,EO,"Rivadeneira, Marcelo M. and Pablo A. Marquet. 2007. Selective extinction of late Neogene bivalves on the temperate Pacific coast of South America",Rivadeneira and Marquet 2007,2007,PR,Mollusca,bivalve,sp,Life Habit,Epifaunal,Late Neogene,pacific coast South America,Rivandera/Marq database ,,,,,17,3,39,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cz,,regional,,,PSA: Pacific Coast South America,,,,,,,,,,,,,,,,,,,,,,
