"number","study.ID","effect..","coder","Full.citation","In.text.Citation","Year","Type","Phylum","Bivalve..Gastropod","Taxon","Tax.level","Aggregate.Trait","Author.s.Trait","Trait.category","Start.stage","End.stage","Aggregate.Age..Event","Age..Event","Location","Data.source","Odds.Ratio","Var.Odds.Ratio","Log.odds.ratio","Var.Lnor","X..Ext","X..Surv","Total...Ext","Total...Surv","N","X.","per.capita.extinction","N.1","Total.per.capita.extinction","notes","x.square","n","df","p..sur.extinct.","X..group.a.extinct","X..group.b.extinct","p..before.after.","coefficient","d.f.","p","Note","X","Test.type","Trait.Type.Species.Total","Mean.Duration..my.","p.1","z","Parametric.Non","Test","n.1","p.2","test.stat","df.1","startTime.Ma","endTime.Ma","Volcanism","Flood_basalt","Bollide","OA","BC.extinction.rate","del.18O","del.13C","X87Sr.86Sr","del.34S","sea_level","d18OresidualMean","d18OresidualMeanWeighted","d18OresidualSD","Dd18O.first.differences.Mean","Dd18O.first.differences.SD","Dd18O.first.differences.ABSMean","Dd18O.first.differences.ABSMeanWeighted","d18O.meanObserved","d18O.meanObservedWeighted","d18O.meanObservedSD","d18O.CV","BC.extinction.rate.PBDB","lnor","vlnor"
NA,"Harnik 2011 DIE","1","EO","Harnik, Paul G., 2011, Direct and indirect effects of biological factors on extinction risk in fossil bivalves: PNAS.","Harnik 2011",2011,"PR","Mollusca","Bivalve","bivalve","species","Abundance","Maximum Relative Abundance","Rare","Danian","Priabonian","Early Cenozoic","Early Cenozoic","estern U.S.","Pbdb; museum collections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,33.9,1,1,1,1,0.0724285714285714,-0.432155,1.77045,0.707815,20.3475,61.331,0.1946553935,0.17047064075,0.433230467661407,0.172889157,0.294119563739741,0.207973938,0.194324794026316,1.2003353935,1.15568846969737,0.799776945358983,0.666294562078147,0.0392857142857143,NA,NA
NA,"Harnik 2011 DIE","2","EO","Harnik, Paul G., 2011, Direct and indirect effects of biological factors on extinction risk in fossil bivalves: PNAS.","Harnik 2011",2011,"PR","Mollusca","Bivalve","bivalve","species","Abundance","Maximum Relative Abundance","Common","Danian","Priabonian","Early Cenozoic","Early Cenozoic","estern U.S.","Pbdb; museum collections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,33.9,1,1,1,1,0.0724285714285714,-0.432155,1.77045,0.707815,20.3475,61.331,0.1946553935,0.17047064075,0.433230467661407,0.172889157,0.294119563739741,0.207973938,0.194324794026316,1.2003353935,1.15568846969737,0.799776945358983,0.666294562078147,0.0392857142857143,NA,NA
NA,"Lockwood 2003 ANL","1","EO","Lockwood, Rowan, Abundance not linked to survival across the end-Cretaceous mass extinction: patterns in North American bivalves: PNAS, v. 100, p. 2478-2482.","Lockwood 2003",2003,"PR","Mollusca","Bivalve","bivalve","subgenera","Abundance","Cumulative Raw Abundance","VeryRare","Maastrichtian","Maastrichtian","K/T","K/T","Atlantic Coastal Plain","Sohl and Koch",NA,NA,NA,NA,NA,NA,64,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,NA,NA
NA,"Lockwood 2003 ANL","2","EO","Lockwood, Rowan, Abundance not linked to survival across the end-Cretaceous mass extinction: patterns in North American bivalves: PNAS, v. 100, p. 2478-2482.","Lockwood 2003",2003,"PR","Mollusca","Bivalve","bivalve","subgenera","Abundance","Cumulative Raw Abundance","Rare","Maastrichtian","Maastrichtian","K/T","K/T","Atlantic Coastal Plain","Sohl and Koch",NA,NA,NA,NA,NA,NA,64,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,NA,NA
NA,"Lockwood 2003 ANL","3","EO","Lockwood, Rowan, Abundance not linked to survival across the end-Cretaceous mass extinction: patterns in North American bivalves: PNAS, v. 100, p. 2478-2482.","Lockwood 2003",2003,"PR","Mollusca","Bivalve","bivalve","subgenera","Abundance","Cumulative Raw Abundance","Common","Maastrichtian","Maastrichtian","K/T","K/T","Atlantic Coastal Plain","Sohl and Koch",NA,NA,NA,NA,NA,NA,64,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,NA,NA
NA,"Lockwood 2003 ANL","4","EO","Lockwood, Rowan, Abundance not linked to survival across the end-Cretaceous mass extinction: patterns in North American bivalves: PNAS, v. 100, p. 2478-2482.","Lockwood 2003",2003,"PR","Mollusca","Bivalve","bivalve","subgenera","Abundance","Cumulative Raw Abundance","Abundant","Maastrichtian","Maastrichtian","K/T","K/T","Atlantic Coastal Plain","Sohl and Koch",NA,NA,NA,NA,NA,NA,64,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,NA,NA
NA,"McClure 1995 NSE","1","EO","McClure, M. and A. J. Bohonak. 1995. Non-selectivity in extinction of bivalves in the Late Cretaceous of the Atlantic Coastal Plain of North America. Journal of Evolutionary Biology 8: 779-794.","McClure and Bohank",1995,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Qualitative & Specimen Occurance Frequency","Rare","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","jablonaki 1979/ pub. Sources",NA,NA,NA,NA,8,15,18,27,NA,NA,NA,NA,NA,"Rare = <50 specimens;Common = 50-500 specimens (au. Name moderate) = ; Abundant = >500 specimens (au. name common)",NA,50,2,"0.227",NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,0.415879017013232,0.346565847511027
NA,"McClure 1995 NSE","2","EO","McClure, M. and A. J. Bohonak. 1995. Non-selectivity in extinction of bivalves in the Late Cretaceous of the Atlantic Coastal Plain of North America. Journal of Evolutionary Biology 8: 779-794.","McClure and Bohank",1995,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Qualitative & Specimen Occurance Frequency","Common","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","jablonaki 1979/ pub. Sources",NA,NA,NA,NA,6,19,18,27,NA,NA,NA,NA,NA,"Rare = <50 specimens;Common = 50-500 specimens (au. Name moderate) = ; Abundant = >500 specimens (au. name common)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,1.17333333333333,0.293333333333333
NA,"McClure 1995 NSE","3","EO","McClure, M. and A. J. Bohonak. 1995. Non-selectivity in extinction of bivalves in the Late Cretaceous of the Atlantic Coastal Plain of North America. Journal of Evolutionary Biology 8: 779-794.","McClure and Bohank",1995,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Qualitative & Specimen Occurance Frequency","Abundant","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","jablonaki 1979/ pub. Sources",NA,NA,NA,NA,4,11,18,27,NA,NA,NA,NA,NA,"Rare = <50 specimens;Common = 50-500 specimens (au. Name moderate) = ; Abundant = >500 specimens (au. name common)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,1.62962962962963,0.814814814814815
NA,"Payne 2011 LGA","1","EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","VeryRare","Asselian","Sakmarian","Permian","Assel-Sakm.","global",NA,NA,NA,NA,NA,1,19,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,284,1,1,0,0,0.0185,-3.354,3.8823,0.70753,12.768,31.67,0.7208036735,0.860438716703704,0.761684548684748,-0.173159649,0.890182365305218,0.629453987,0.584560744666667,-2.8856400765,-2.78693396848148,0.53842442135986,-0.186587518569854,0.009,-2.31000000000001,4.41
