"number","study.ID","effect..","coder","Full.citation","In.text.Citation","Year","Type","Phylum","Bivalve..Gastropod","Taxon","Tax.level","Aggregate.Trait","Author.s.Trait","Trait.category","Start.stage","End.stage","Aggregate.Age..Event","Age..Event","Location","Data.source","Odds.Ratio","Var.Odds.Ratio","Log.odds.ratio","Var.Lnor","X..Ext","X..Surv","Total...Ext","Total...Surv","N","X.","per.capita.extinction","N.1","Total.per.capita.extinction","notes","x.square","n","df","p..sur.extinct.","X..group.a.extinct","X..group.b.extinct","p..before.after.","coefficient","d.f.","p","Note","X","Test.type","Trait.Type.Species.Total","Mean.Duration..my.","p.1","z","Parametric.Non","Test","n.1","p.2","test.stat","df.1","startTime.Ma","endTime.Ma","Volcanism","Flood_basalt","Bollide","OA","BC.extinction.rate","del.18O","del.13C","X87Sr.86Sr","del.34S","sea_level","d18OresidualMean","d18OresidualMeanWeighted","d18OresidualSD","Dd18O.first.differences.Mean","Dd18O.first.differences.SD","Dd18O.first.differences.ABSMean","Dd18O.first.differences.ABSMeanWeighted","d18O.meanObserved","d18O.meanObservedWeighted","d18O.meanObservedSD","d18O.CV","BC.extinction.rate.PBDB","lnor","vlnor","lnorReg","vlnorReg","cluster"
NA,"McClure 1995 NSE",1,"EO","McClure, M. and A. J. Bohonak. 1995. Non-selectivity in extinction of bivalves in the Late Cretaceous of the Atlantic Coastal Plain of North America. Journal of Evolutionary Biology 8: 779-794.","McClure and Bohank",1995,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Qualitative & Specimen Occurance Frequency","Rare","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","jablonaki 1979/ pub. Sources",NA,NA,NA,NA,8,15,18,27,NA,NA,NA,NA,NA,"Rare = <50 specimens;Common = 50-500 specimens (au. Name moderate) = ; Abundant = >500 specimens (au. name common)",NA,50,2,"0.227",NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,0.415879017013232,0.346565847511027,0.44628710262842,0.375,1
NA,"McClure 1995 NSE",2,"EO","McClure, M. and A. J. Bohonak. 1995. Non-selectivity in extinction of bivalves in the Late Cretaceous of the Atlantic Coastal Plain of North America. Journal of Evolutionary Biology 8: 779-794.","McClure and Bohank",1995,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Qualitative & Specimen Occurance Frequency","Common","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","jablonaki 1979/ pub. Sources",NA,NA,NA,NA,6,19,18,27,NA,NA,NA,NA,NA,"Rare = <50 specimens;Common = 50-500 specimens (au. Name moderate) = ; Abundant = >500 specimens (au. name common)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,1.17333333333333,0.293333333333333,1.55814461804655,0.427631578947368,1
NA,"McClure 1995 NSE",3,"EO","McClure, M. and A. J. Bohonak. 1995. Non-selectivity in extinction of bivalves in the Late Cretaceous of the Atlantic Coastal Plain of North America. Journal of Evolutionary Biology 8: 779-794.","McClure and Bohank",1995,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Qualitative & Specimen Occurance Frequency","Abundant","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","jablonaki 1979/ pub. Sources",NA,NA,NA,NA,4,11,18,27,NA,NA,NA,NA,NA,"Rare = <50 specimens;Common = 50-500 specimens (au. Name moderate) = ; Abundant = >500 specimens (au. name common)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,1.62962962962963,0.814814814814815,0.878069519053957,0.474837662337662,1
NA,"Payne 2011 LGA",1,"EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","VeryRare","Artinskian","Artinskian","Permian","Artinskian","global",NA,NA,NA,NA,NA,7,24,9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,279.5,0,0,0,0,0.018,-3.56285,3.96395,0.707305,12.968,32.4635,-0.1698586035,-0.336628588105263,0.497902122942755,-0.6638392855,0.196256568586618,0.6638392855,0.598104066842105,-3.5288961035,-3.65325358810526,0.371276976101774,-0.105210514906783,0.023,-0.328909335426669,0.309174775301069,-0.713766467762681,0.755952380952381,2
NA,"Payne 2011 LGA",2,"EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Rare","Artinskian","Artinskian","Permian","Artinskian","global",NA,NA,NA,NA,NA,2,5,9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,279.5,0,0,0,0,0.018,-3.56285,3.96395,0.707305,12.968,32.4635,-0.1698586035,-0.336628588105263,0.497902122942755,-0.6638392855,0.196256568586618,0.6638392855,0.598104066842105,-3.5288961035,-3.65325358810526,0.371276976101774,-0.105210514906783,0.023,-3.99940327007996,6.06361140947607,-0.634306680537011,0.873160173160173,2
NA,"Payne 2011 LGA",1,"EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","VeryRare","Kungurian","Kungurian","Permian","Kungurian","global",NA,NA,NA,NA,NA,21,35,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.5,272.5,1,0,0,0,0.06,-3.7717,4.0456,0.70708,13.168,33.257,-0.521928571,-0.521928571,0,-0.525064935,0,0.525064935,0.525064935,-3.791428571,-3.791428571,0,0,0.029,-1.35594936708861,0.179870834409713,-1.88706964903238,0.348917748917749,3
NA,"Payne 2011 LGA",2,"EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Rare","Kungurian","Kungurian","Permian","Kungurian","global",NA,NA,NA,NA,NA,2,21,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.5,272.5,1,0,0,0,0.06,-3.7717,4.0456,0.70708,13.168,33.257,-0.521928571,-0.521928571,0,-0.525064935,0,0.525064935,0.525064935,-3.791428571,-3.791428571,0,0,0.029,3.76282357445383,1.0663042281831,1.42642646254621,0.608338687798958,3
NA,"Payne 2011 LGA",3,"EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Common","Kungurian","Kungurian","Permian","Kungurian","global",NA,NA,NA,NA,NA,1,6,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.5,272.5,1,0,0,0,0.06,-3.7717,4.0456,0.70708,13.168,33.257,-0.521928571,-0.521928571,0,-0.525064935,0,0.525064935,0.525064935,-3.791428571,-3.791428571,0,0,0.029,7.85897184190132,11.5117334022216,0.679353858427609,1.22203196347032,3
NA,"Payne 2011 LGA",4,"EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","Abundant","Kungurian","Kungurian","Permian","Kungurian","global",NA,NA,NA,NA,NA,1,16,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.5,272.5,1,0,0,0,0.06,-3.7717,4.0456,0.70708,13.168,33.257,-0.521928571,-0.521928571,0,-0.525064935,0,0.525064935,0.525064935,-3.791428571,-3.791428571,0,0,0.029,6.02435635758399,1.95181638999606,1.80750782619619,1.12003968253968,3
NA,"Payne 2011 LGA",1,"EO","Payne, Jonathan L., Truebe, Sarah, Nutzel, Alexander, and Chang, Ellen T.,2011, Local and global abundance associated with extinction risk in late Paleozoic and early Mesozoic gastropods: Paleobiology, v. 37, p. 616-632.","Payne et al. 2011",2011,"PR","Mollusca","Gastropod","gastropod","genera","Abundance","Genus Occurance Frequency","VeryRare","Roadian","Roadian","Permian","Roadian","global",NA,NA,NA,NA,NA,12,25,13,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.5,268,0,0,0,0,0.06,-3.6077,4.51115,0.707115,13.6505,28.4125,-2.2273795635,-1.85662934773913,2.41187192355616,-1.8595959595,1.88731187425556,1.8595959595,1.5694805193913,-5.3884920635,-5.04130434773913,2.25858885106444,-0.419150445885118,0.056,-0.600073046018992,0.20518626734843,-1.97408102602201,1.19,4
