top,bottom,stage,epoch,period
0.01,1.81,Pleistocene,Pleistocene-Holocene,Neogene
1.81,2.59,Gelasian,Late Pliocene,Neogene
2.59,3.6,Piacenzian,Early Pliocene,Neogene
3.6,5.33,Zanclean,Early Pliocene,Neogene
5.33,7.25,Messinian,Late Miocene,Neogene
7.25,11.61,Tortonian,Late Miocene,Neogene
11.61,13.65,Serravallian,Middle Miocene,Neogene
13.65,15.97,Langhian,Middle Miocene,Neogene
15.97,20.43,Burdigalian,Early Miocene,Neogene
20.43,23.03,Aquitanian,Early Miocene,Neogene
23.03,28.4,Chattian,Late Oligocene,Paleogene
28.4,33.9,Rupelian,Early Oligocene,Paleogene
33.9,37.2,Priabonian,Late Eocene,Paleogene
37.2,40.4,Bartonian,Middle Eocene,Paleogene
40.4,48.6,Lutetian,Middle Eocene,Paleogene
48.6,55.8,Ypresian,Early Eocene,Paleogene
55.8,58.7,Thanetian,Late Paleocene,Paleogene
58.7,61.7,Selandian,Middle Paleocene,Paleogene
61.7,65.5,Danian,Early Paleocene,Paleogene
65.5,70.6,Maastrichtian,Late Cretaceous,Cretaceous
70.6,83.5,Campanian,Late Cretaceous,Cretaceous
83.5,85.8,Santonian,Late Cretaceous,Cretaceous
85.8,89.3,Coniacian,Late Cretaceous,Cretaceous
89.3,93.5,Turonian,Late Cretaceous,Cretaceous
93.5,99.6,Cenomanian,Late Cretaceous,Cretaceous
99.6,112,Albian,Early Cretaceous,Cretaceous
112,125,Aptian,Early Cretaceous,Cretaceous
125,130,Barremian,Early Cretaceous,Cretaceous
130,136.4,Hauterivian,Early Cretaceous,Cretaceous
136.4,140.2,Valanginian,Early Cretaceous,Cretaceous
140.2,145.5,Berriasian,Early Cretaceous,Cretaceous
145.5,150.8,Tithonian,Late Jurassic,Jurassic
150.8,155.7,Kimmeridgian,Late Jurassic,Jurassic
155.7,161.2,Oxfordian,Late Jurassic,Jurassic
161.2,164.7,Callovian,Middle Jurassic,Jurassic
164.7,167.7,Bathonian,Middle Jurassic,Jurassic
167.7,171.6,Bajocian,Middle Jurassic,Jurassic
171.6,175.6,Aalenian,Middle Jurassic,Jurassic
175.6,183,Toarcian,Early Jurassic,Jurassic
183,189.5,Pliensbachian,Early Jurassic,Jurassic
189.5,196.5,Sinemurian,Early Jurassic,Jurassic
196.5,199.6,Hettangian,Early Jurassic,Jurassic
199.6,203.6,Rhaetian,Late Triassic,Triassic
203.6,216.5,Norian,Late Triassic,Triassic
216.5,228,Carnian,Late Triassic,Triassic
228,237,Ladinian,Middle Triassic,Triassic
237,245,Anisian,Middle Triassic,Triassic
245,249.7,Olenikian,Early Triassic,Triassic
249.7,251,Induan,Early Triassic,Triassic
251,253.8,Changhsingian,Lopingian,Permian
253.8,260.4,Wuchiapingian,Lopingian,Permian
260.4,265.5,Capitanian,Guadalupian,Permian
265.5,268,Wordian,Guadalupian,Permian
268,270.6,Roadian,Guadalupian,Permian
270.6,275.6,Kungurian,Cisuralian,Permian
275.6,284.4,Artinskian,Cisuralian,Permian
284.4,294.6,Sakmarian,Cisuralian,Permian
294.6,299,Asselian,Cisuralian,Permian
299,303.9,Gzelian,Late Pennsylvanian, Pennsylvanian
303.9,306.5,Kasimovian,Late Pennsylvanian, Pennsylvanian
306.5,311.7,Moscovian,Middle Pennsylvanian, Pennsylvanian
311.7,318.1,Bashkirian,Early Pennsylvanian, Pennsylvanian
318.1,326.4,Serpukhovian,Late Mississipian,Mississipian
326.4,345.3,Visean,Middle Mississipian,Mississipian
345.3,359.2,Tournaisian,Early Mississipian,Mississipian
359.2,374.5,Fammenian,Late Devonian,Devonian
374.5,385.3,Frasnian,Late Devonian,Devonian
385.3,391.8,Givetian,Middle Devonian,Devonian
391.8,397.5,Eifelian,Middle Devonian,Devonian
397.5,407,Emsian,Early Devonian,Devonian
407,411.2,Pragian,Early Devonian,Devonian
411.2,416,Lochkovian,Early Devonian,Devonian
416,418.7,Pridoli,Pridoli,Silurian
418.7,421.3,Ludfordian,Ludlow,Silurian
421.3,422.9,Gorstian,Ludlow,Silurian
422.9,426.2,Homerian,Wenlock,Silurian
426.2,428.2,Sheinwoodian,Wenlock,Silurian
428.2,436,Telychian,Llandovery,Silurian
436,439,Aeronian,Llandovery,Silurian
439,443.7,Rhuddanian,Llandovery,Silurian
443.7,445.6,Hirnantian,Late Ordovician,Ordovician
445.6,455.8,Katian,Late Ordovician,Ordovician
455.8,460.9,Sandbian,Late Ordovician,Ordovician
460.9,468.1,Darriwillian,Middle Ordovician,Ordovician
468.1,471.8,Dapingian,Middle Ordovician,Ordovician
471.8,478.6,Floian,Early Ordovician,Ordovician
478.6,488.3,Tremadocian,Early Ordovician,Ordovician
488.3,501,Pabian,Furongian,Cambrian
501,513,Middle Cambrian,Middle Cambrian,Cambrian
513,542,Early Cambrian,Early Cambrian,Cambrian
