StageBottom,StageTop,StageMed,d18O observations,d18O mean,d18O StDev,d18O max,d18O min,Dd18O(first differences),d18Oresidual
1.8,0,0.9,1546,3.962050453,0.433448877,5.21,2.69,0.69031625,2.045915453
5.3,1.8,3.55,3529,3.271734202,0.363877528,4.62,2.2,0.409132576,1.405551702
11.2,5.3,8.25,1476,2.862601626,0.254746946,3.71,0.42,0.711270917,1.085014126
16.6,11.2,13.9,1270,2.151330709,0.39370725,3.59,0.98,0.204468323,0.480245709
23.8,16.6,20.2,545,1.946862385,0.268625774,2.96,1.13,-0.059305086,0.394532385
28.5,23.8,26.15,621,2.006167472,0.537439387,3.59,0.83,-0.600798394,0.565994972
33.7,28.5,31.1,791,2.606965866,0.270637592,3.26,1.49,0.841102771,1.260100866
37.2,33.7,35.45,336,1.765863095,0.32804054,2.92,-1.3,0.380863095,0.500995595
40.4,37.2,38.8,76,1.385,0.410818695,1.76,-1.6,0.568812155,0.18328
48.6,40.4,44.5,181,0.816187845,0.459482013,1.69,-1.3,0.721154288,-0.278087155
54.8,48.6,51.7,149,0.095033557,0.284461616,0.7,-0.67,-0.43240234,-0.863521443
60.9,54.8,57.85,195,0.527435897,0.38369687,1.27,-0.94,-0.107371795,-0.315191603
65,60.9,62.95,52,0.634807692,0.303654153,1.45,0.13,-0.035084781,-0.111684808
71,65,68,93,0.669892473,0.573661949,1.74,-1.7,1.040606759,0.018592473
83,71,77,56,-0.370714286,0.560278688,0.68,-1.64,0.439285714,-0.852364286
86,83,84.5,8,-0.81,0.298711519,-0.15,-1.09,0.206125,-1.150275
89,86,87.5,8,-1.016125,0.143397985,-0.9,-1.29,0.720426724,-1.29985
94,89,91.5,29,-1.736551724,0.678613481,-0.52,-3.66,-0.363610548,-1.944876724
99,94,96.5,68,-1.372941176,1.143710979,0.66,-4.35,-0.830186074,-1.487016176
112,99,105.5,98,-0.542755102,0.418097756,0.5,-2.4,0.199744898,-0.487180102
121,112,116.5,16,-0.7425,1.425283598,0.78,-2.9,-0.33842,-0.479575
127,121,124,75,-0.40408,0.586032117,1.23,-2.1,-0.634060392,0.00022
132,127,129.5,51,0.229980392,0.484525479,1.319,-1.02,0.748272059,0.737955392
137,132,134.5,48,-0.518291667,0.682256861,0.5,-2.4,0.220041667,0.083933333
141.8,137,139.4,9,-0.738333333,1.016905109,0.45,-2.7,0.642044025,-0.043743333
148,141.8,144.9,53,-1.380377358,0.856159498,2.3,-3.12,-0.056050435,-0.582112358
152,148,150,52,-1.324326923,0.81122011,0.95,-3.39,-0.399810467,-0.429926923
156.4,152,154.2,79,-0.924516456,1.079204422,1.86,-4.4,-0.897319874,0.049053544
160.4,156.4,158.4,117,-0.027196581,0.983582152,2.44,-3.15,0.87888538,1.025543419
166,160.4,163.2,102,-0.906081961,1.063858815,1.679,-4.86,-0.136786961,0.237138039
174,166,170,24,-0.769295,1.41078593,1.85,-3.7956,-0.356795,0.502105
178,174,176,8,-0.4125,0.513218138,0.3,-1.2,0.8925,0.972
183.6,178,180.8,10,-1.305,1.908962778,1.7,-3.65,0.999240506,0.16998
191.5,183.6,187.55,158,-2.304240506,1.262770331,0.87,-4.83,-0.880907173,-0.702023006
196.6,191.5,194.05,72,-1.423333333,1.033367257,0.2,-4.1,-0.217564103,0.301409167
199.6,196.6,198.1,26,-1.205769231,0.56521269,-0.15,-2.45,0.630897436,0.595315769
219,199.6,209.3,51,-1.836666667,0.693038719,-0.61,-3.75,0.701491228,0.175538333
